Satellite_ID,Satellite_Name,Orbit Details,orbit_distance,orbit_velocity,orbit_period,navigation_system,number_of_malfunctioning_parts,malfunctioning_parts_name,health_percentage,Services,Planet_ID
541,CSG-1 (COSMO-SkyMed Second Generation),Non-Polar Inclined,959,6493,94.6,QZSS,37,Nav Computer,85,"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.",409
588,Gaofen-1-04,Sun-Synchronous,580,6222,100.4,GPS,32,Transponders,67,Operational nucleus of the full 30-satellite constellation.,407
528,Astrocast 0.1,Non-Polar Inclined,995,7652,1436.1,Galileo,18,Signal Receiver,83,"24 Ku-band transponders. Will provide HD, 4K and 8K Ultra HD television broadcasts over Japan.",402
593,"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",Sun-Synchronous,1188,7152,96.2,QZSS,26,Antenna System,68,Accelerate the technology development and practical utilization of micro/nano-satellites.,403
506,Starlink-1043,Non-Polar Inclined,1157,7980,109.4,GPS,16,Encoder,75,Training satellite; carries an amateur radio payload.,409
517,Swift,Non-Polar Inclined,602,7272,94.5,GLONASS,35,Encoder,79,Replaced Eutelsat 70A.,401
556,Grace Follow-on-1 (Gravity Recovery and Climate Experiment Follow-on-1),Non-Polar Inclined,552,6444,94.85,Galileo,11,Encoder,72,Normally part of a six-satellite constellation.,408
573,Starlink-1064,Polar,1043,7200,1436.04,QZSS,43,Station Keeping,76,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",407
515,O3b FM06,Sun-Synchronous,1346,6249,90.3,GPS,19,Nav Computer,86,Wireless network for North America,408
513,Starlink-1166,Sun-Synchronous,818,6505,90.3,GLONASS,35,Signal Receiver,92,Cubesat designed to survive entry into Earth's atmosphere. Purpose is to demonstrate the use of a cubesat as a re-entry vehicle for future materials testing experiments.,401
519,Lemur-2-SarahBettyBoo (Lemur 2F93),Polar,1121,6911,94.5,BeiDou,20,Nav Computer,66,Amateur radio.,408
540,Globalstar M070 (Globalstar 70),Sun-Synchronous,1405,7009,93,GLONASS,16,Nav Computer,66,48 transponders.,403
571,Starlink-1172,Sun-Synchronous,1231,6374,95.13,GPS,12,Nav Computer,70,Test cubesat.,405
539,Galaxy-19,Non-Polar Inclined,969,6108,100.4,BeiDou,44,Encoder,71,Color and infrared cameras for wide-area imaging. 10 satellite fleet planned.,404
583,"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",Non-Polar Inclined,855,7850,90.5,GPS,10,Nav Computer,77,Communications services; part of planned 24-satellite constellation. First commercial satellites.,403
509,Starlink-1193,Sun-Synchronous,767,6762,93.8,BeiDou,26,Encoder,68,Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations.,406
562,Starlink-1073,Molniya,1149,7847,94.6,QZSS,46,Nav Computer,78,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",407
563,Starlink-1009,Sun-Synchronous,949,6832,116.04,QZSS,22,Power System,73,Technology demonstration for Air Force Space Command,405
525,Meridian-3,Polar,1285,6697,1436,BeiDou,23,Buffer Battery,94,"The satellite carries an RGB imaging system using a dust detection algorithm to detect, monitor and study dust storm events over Iraq.",402
572,"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",Polar,1121,6544,95.5,NAVIC,11,Fixing Transmitter,70,Multi-wavelength observatory for study of gamma-ray burst (GRB) science; mission life 2 yrs.,406
520,OneWeb-0013,Sun-Synchronous,1433,7886,94,GPS,7,Encoder,75,Follow-on to Resourcesat 1; will provide data with enhanced multispectral and spatial coverage as well.,406
564,Jilin-1 (High Resolution 03-A),Non-Polar Inclined,1436,7501,1436.03,NAVIC,34,Transponders,94,"28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region.",405
530,Starlink-1125,Non-Polar Inclined,1373,6439,720.71,GPS,35,Power System,75,American amateur radio satellite.,408
596,NROL-129 (USA 306),Sun-Synchronous,518,6131,95.6,QZSS,30,Antenna System,93,The GPM Core observatory is equipped with radar and microwave imagers to collect data to measure precipitation in the Earth's atmosphere.,402
578,Iridium Next SV 154,Non-Polar Inclined,936,6134,95.7,GLONASS,49,Power System,67,Military communications - designed to replace Molniya and Parus spacecraft.,409
